company,job,location,time_posted,job_type,salary,job_description,link
Groupe Oxyane,Technicien SAV Machines Agricoles F/H,"Curtafond, Auvergne-Rhône-Alpes, France",1 month ago,Full-time,,"Description du poste et MissionsLa société AGRINOVE est à la recherche de son/sa futur(e) Technicien(ne) SAV.Concessionnaire exclusif CASE-IH en tracteurs, moissonneuses-batteuses et presses, et distributeur de grandes marques d'outils comme Amazone, Pöttinger, Berthoud. AGRINOVE est présente sur 7 sites autour d'un axe Lyon-Dijon-Chaumont et emploie 85 collaborateurs.Véritables passionnées, nos équipes ont à cœur de se mettre au service des agriculteurs de notre région et de contribuer à bien équiper et accompagner ceux qui nous nourrissent.Notre ambition est d’être un acteur majeur et innovant au service de ceux qui font l'agriculture et le monde de demain.Nous vous proposons de développer vos compétences dans une entreprise impliquée dans le développement des technologies innovantes (agriculture de précision, suivi à distance des machines connectées...), en partenariat avec des constructeurs majeurs.Rattaché(e) au Chef d’atelier et en contact régulier avec les clients, vous êtes chargé(e) de réaliser la maintenance préventive, prédictive, curative et les travaux d’entretien sur les machines agricoles.Maintenance curative (dépannages)Vous réalisez un diagnostic de la panne, identifiez les pièces à remplacer et procédez aux réparations nécessaires.Vous réalisez des travaux de remise en état des matériels agricoles (remplacement de pièces, dégraissage, nettoyage).Maintenance préventive et prédictiveVous réalisez les opérations de vérification du bon fonctionnement (graissage, réglage, remplacement de consommables) de tous les matériels à entretenir, selon le planning établi par le responsable d’atelier.Vous renseignez les opérations réalisées et informez le client des travaux réalisés et à venir.Installation de machines et équipementsVous préparez le matériel neuf (vérification de la conformité, seconde monte,…) et d'occasion (remise en état, révision complète,…).Vous assurez la conduite de véhicules et leur convoyage vers les différents sites (concessionnaires, clients…).Vous assurez le montage et les réglages des machines ou des équipements.Ce poste peut nécessiter des déplacements chez les clients (département).Avec l’expérience, vous pourrez vous spécialiser au sein du métier de technicien SAV ou évoluer vers d’autres postes (chef d’atelier, agriculture de précision,...).Profil recherchéVous avez une première expérience en tant que Technicien SAV ou Mécanicien.Vous ne venez pas du secteur agricole ? Pas de problème, nous sommes prêts à vous accompagner et à vous former !Informations utiles Localisation Curtafond - 01, France - zone de déplacement : départementale  Contrat CDI  Salaire Non défini  Niveau de qualification Employé/Opérateur/Ouvrier Spe/Bac  Expérience 1 à 7 ans, + 7 ans  Modalités de travail Temps complet  Fonction Ingénierie - Mécanique/Aéron., SAV/Hotline/Téléconseiller  Secteur Agriculture/Pêche, Industrie Auto/Meca/Navale  Télétravail Pas de télétravail 4 raisons nous rejoindreUne politique de formation ambitieuse ;Travailler sur des technologies et des méthodes innovantes ;Des coéquipiers passionnés et engagés ! ;Un package de rémunération attractif (salaire de base, heures supplémentaires jusqu’à 39h00 rémunérée à 25%, astreintes selon le poste et l’expérience (environ 180€ brut / semaine), mutuelle avantageuse (part employeur 30€), prévoyance avantageuse,...).Qui sommes nous ?Agrinove 71260 Senozan FranceConcessionnaire exclusif CASE-IH en tracteurs, moissonneuses-batteuses et presses, et distributeur de grandes marques d'outils comme Amazone, Pöttinger, Berthoud. AGRINOVE est présente sur 7 sites autour d'un axe Lyon-Dijon-Chaumont et emploie 85 collaborateurs.Véritables passionnées, nos équipes ont à cœur de se mettre au service des agriculteurs de notre région et de contribuer à bien équiper et accompagner ceux qui nous nourrissent.Notre ambition est d’être un acteur majeur et innovant au service de ceux qui font l'agriculture et le monde de demain.Nous vous proposons de développer vos compétences dans une entreprise impliquée dans le développement des technologies innovantes (agriculture de précision, suivi à distance des machines connectées...), en partenariat avec des constructeurs majeurs.",https://www.linkedin.com/jobs/view/externalApply/3985208518?url=https%3A%2F%2Fwww%2Etalentdetection%2Ecom%2Fgroupe-oxyane%2Foffre-25392-Jn7keQ&urlHash=_5P7&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
Nova Location,Preparateur Materiel H/F,"Castelnaudary, Occitanie, France",1 week ago,Full-time,,"NOVA LOCATION, premier loueur régional, vous propose un service de location sur du matériel spécifique Travaux Publics Carrière Industrie, Travaux Publics Urbain, Environnement, Agricole et Espaces Verts.Au travers nos 16 agences Grand SUD, notre service de location s'adresse aussi bien aux particuliers qu'aux professionnels avec une large gamme de marques : Liebherr, Bell, Dynapac, Metso, Terex Finlay, John Deere, Bobcat, Stihl, Oeliatec, Amazone, Greenmech, GrilloNotre entreprise est dans une démarche inclusive au regard du handicap et à compétences égales, nous prioriserons les candidats en situation de handicap. Vous contrôlez et préparez les machines avant la remise en location. Vous vérifier l'état général, le fonctionnement du matériel de location et identifier les éventuelles anomalies. Vous réalisez la maintenance de 1er niveau. Vous nettoyez le matériel à son retour de location. Vous assurez un service de qualité auprès de la clientèle. Vous avez en charge le rangement des matériels sur le parc de location.Issu d'un CAP ou BEP ou d'une formation professionnelle, vous avez des compétences en mécanique et en électricité.Vous bénéficiez d'une 1ère expérience réussie en tant que monteur ou préparateur de matériel.Vous maîtrisez impérativement l'outil informatique",https://www.linkedin.com/jobs/view/externalApply/4016130172?url=https%3A%2F%2Fr%2Eholeest%2Ecom%2Fredirect%3Fpoc%3D2%26op%3D6496165511%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F55387409%2Ehtml%253Futm_source%253Dlinkedin%2526utm_medium%253Dmetamoteurs-free%2526utm_campaign%253Dclassique%252B-%252Bproduction%252B2%252B-%252Blinkedin%2526utm_term%253D55387409%2526utm_content%253Dfluxlinkedin&urlHash=K3NV&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
AgriFoodMatch - Vacaturesite voor Food en Agri,Sales & Marketing Manager Fendt,"Antwerp, Flemish Region, Belgium",1 month ago,Full-time,,"OrganisatieLeaders drive FENDT. De tractoren van FENDT, bekend om hun topprestaties en baanbrekende technologieën, zijn al meer dan 57 jaar een sterke vaste waarde in het productengamma van Hilaire Van der Haeghe. Voor de business unit ‘HH Agri' zijn wij in het kader van groei en verdere professionalisering, op zoek naar een gedreven en ervaren Sales & Marketing Manager FENDT.FunctiebeschrijvingAls eindverantwoordelijke werk je samen met jouw team aan het behalen van doelstellingen op het gebied van omzet, marges, voorraadbeheer en marktaandeel van FENDT-tractoren.In nauwe samenwerking met de fabrikant bepaal je de optimale marktbenadering voor FENDT als premium merk in België, en implementeer je deze strategieën op het gebied van sales & marketing.Je onderhoudt nauwe relaties met het FENDT-dealernet en begeleidt dealers actief in een traject van dealer development, waarbij je hen richting geeft om zowel korte als lange termijn doelstellingen te realiseren.Je rapporteert aan de Business Unit Manager HH Agri en werkt nauw samen met de Service & Parts Manager Fendt. Samen met de Manager Amazone vormen jullie het Management Team van de Business Unit HH Agri.Als People Manager stuur je een team van 5 medewerkers aan, waarbij duidelijke communicatie en stimulatie van groei en teamgeest centraal staan.Operationeel voorziet jouw team het distributienetwerk van de nodige dagelijkse commerciële en administratieve ondersteuning op een klantgerichte manier.Je blijft op de hoogte van de laatste markttrends en onderhoudt een uitgebreid netwerk met concullega's, federaties en andere spelers in de sector.Functie-eisenJe hebt een diepgaande affiniteit met de landbouwsector en beschikt over een Master of Bachelor diploma.Met minstens 10 jaar werkervaring, bij voorkeur in een leidinggevende rol binnen een commerciële omgeving, ben jij klaar voor deze uitdaging. Ervaring in de distributiesector is een pluspunt.Als echte People Manager weet je jouw teamleden te inspireren en te begeleiden naar succes, met empathie als jouw drijvende kracht.Ondernemend, resultaatgericht en hands-on: jij zorgt ervoor dat doelstellingen worden behaald.Met jouw klantgerichtheid en sterke communicatieve vaardigheden weet je effectief tot compromissen te komen.Je beheerst vloeiend Nederlands en Frans, met een goede kennis van Engels. Kennis van Duits is een pluspunt.Analytisch sterk, bedreven in MS Office en snel met nieuwe systemen en platformen.ArbeidsvoorwaardenNaast een competitief salaris en uitgebreide extralegale voordelen, bieden wij een boeiende functie binnen een familiebedrijf met een sterk ondernemerschap. Je komt terecht in een groeiende en financieel gezonde organisatie en wordt commercieel verantwoordelijk voor één van de meest gewilde merken in landbouwmechanisatie. Je wordt onderdeel van een enthousiast en professioneel team met dezelfde passie voor succes!",https://www.linkedin.com/jobs/view/externalApply/3996387525?url=https%3A%2F%2Fwww%2Eagrifoodmatch%2Ebe%2Fvacatures%2Fvacature_sales_marketing_manager_fendt_1467759_12%2Ehtml&urlHash=uVFa&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
Bennett & Game Recruitment Limited,Aftersales Advisor,"Billingshurst, England, United Kingdom",1 hour ago,Full-time,,"required. Our client specialises in Agricultural machinery as well as 4x4 vehicles with a full konwledge and understanding from manufacturers such as Massey Ferguson, Fendt and Valtra, Manitou, Isuzu, Amazone, HM Trailers, Can-Am and Spearhead. They are now looking for a Aftersales Advisor to join the team in their Horsham Branch which is one of the numerous branches they have over the South East. This is a 100% office based role.Aftersales Advisor Position OverviewProfessionally communicate with customers by telephone or in person to provide information about products and services or to obtain details of customer issues.Produce job cards and update customers and machine records.Prepare and complete invoices, advise customers on estimated costs of repairs and timescales of work due to be completed.Liaise with technicians about parts ordering to ensure requisite parts are available and communicate any time restrictions to customers in timely manner.Liaise with customers to schedule in Breakdown's, Repairs, Services, and follow-up on customers service satisfaction.General housekeeping to ensure yard, workshop, showroom, and office areas are tidy.Answer telephone Service enquiries with the ability to action customers' requirements or even advice customers over the phone and in person.Up-selling of VHC and Service Plans.Isuzu warranty claim prior approval and claim submission.Perform all other duties as assigned by management in a professional and efficient manner.Ensure companies Health and Safety policies are always followed.Evening and weekends on rota.Aftersales Advisor Position RequirementsPrevious experience within an agricultural machinery or automotive aftersales environment or similar and in a similar position.Excellent customer communication skills and telephone manner essential.Experience working with Ibcos Gold system would be an advantage, but not essential, as full training will be provided.Aftersales Advisor Position RemunerationSalary: £13.50- £14.50 an hourWorking Hours: 8:00am to 5pm Monday to Friday in the winter and 8am- 6pm in the summerHoliday Package: 22 days + 8BHCompany Phone and LaptopHealth InsuranceTraining providedCompany discounts.Discretionary Company bonus based on branch performancePensionBennett & Game Recruitment are acting as a Recruitment Agency in relation to this vacancy.Bennett and Game Recruitment are a multi-disciplined technical recruitment agency based in Chichester, West Sussex operating across the UK with specialist teams covering a range of industries. We are acting as a Recruitment Agency in relation to this vacancy, and in accordance with GDPR by applying you are granting us consent to process your data, and contact you in relation to this application and the services we offer.",https://www.linkedin.com/jobs/view/externalApply/4023085962?url=https%3A%2F%2Fbennett-and-game-recruitment-ltd%2Eeasyapply-ats%2Ecom%2Fuk%2Flinkedin%2F66e0e0581f00bc40dddfda66%3Fsd%3D1&urlHash=V2Ue&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
G & J Peck Ltd,Agricultural service engineer,"Rendlesham, England, United Kingdom",1 week ago,Full-time,,"What we’re looking for:We’re looking for dynamic individuals who are friendly and approachable, have an engaging personality and a passion for the work they do.G & J Peck Ltd is a successful multi-site agricultural machinery business. Established in 1846 and now employing over 130 people. We’re market leaders in agricultural products and service, holding multiple franchises including JCB, Amazone, New Holland and Case IH along with many other brands.We’re looking to the future, expanding our horizons and are currently building on our established team, to meet the needs of our long standing customers in Cambridgeshire, Lincolnshire, Norfolk and Suffolk.Join our journey. Share our vision. Secure your future working for one of the most committed Agricultural Machinery Dealers in the UK.This position would suit an experienced engineer who wishes to be involved in market leading equipment and willing to work as part of a committed service team.The Role:To prepare, service, diagnose, repair and maintain a range of agricultural machinery sold by the company, also performing other duties requested by management. Working at the depot or at a customer’s site. Undertake manufacturer’s training courses on-line and off-site. Work to main dealer working principals following correct procedures to achieve quality and efficiency. To deliver industry leading support to our customers. You may be required to respond to out-of-hours call outs and work overtime.Ideal ExperienceExperience within the agricultural industry would be an advantage but not essential as training is provided. Truck and commercial service engineering experience is transferable.Knowledge of agricultural machinery or transferable skillsAbility to diagnose technical hydraulic and electrical faultsUse IT system to diagnose faults and file reports to manufacturersComplete job cards to high level of detail and accuracyAble to work alone using your own initiative and as part of a teamCan do attitude to resolve issuesFollow the company’s health and safety policy and procedures alwaysFull driver’s licenceConfident communication skills to internal and external contactsSummary Information39 hours per week Monday to Friday (plus overtime to meet seasonal demands and out of hours calls).Saturday morning working will be required paid at overtime rate. Incentive bonus scheme.",
Groupe Oxyane,Technicien SAV Machines Agricoles H/F,"Montracol, Auvergne-Rhône-Alpes, France",1 month ago,Full-time,,"La société AGRINOVE est à la recherche de son/sa futur(e) Technicien(ne) SAV.Concessionnaire exclusif CASE-IH en tracteurs, moissonneuses-batteuses et presses, et distributeur de grandes marques d'outils comme Amazone, Pöttinger, Berthoud. AGRINOVE est présente sur 7 sites autour d'un axe Lyon-Dijon-Chaumont et emploie 85 collaborateurs.Véritables passionnées, nos équipes ont à coeur de se mettre au service des agriculteurs de notre région et de contribuer à bien équiper et accompagner ceux qui nous nourrissent.Notre ambition est d'être un acteur majeur et innovant au service de ceux qui font l'agriculture et le monde de demain.Nous vous proposons de développer vos compétences dans une entreprise impliquée dans le développement des technologies innovantes (agriculture de précision, suivi à distance des machines connectées), en partenariat avec des constructeurs majeurs.Rattaché(e) au Chef d'atelier et en contact régulier avec les clients, vous êtes chargé(e) de réaliser la maintenance préventive, prédictive, curative et les travaux d'entretien sur les machines agricoles.Maintenance curative (dépannages) Vous réalisez un diagnostic de la panne, identifiez les pièces à remplacer et procédez aux réparations nécessaires. Vous réalisez des travaux de remise en état des matériels agricoles (remplacement de pièces, dégraissage, nettoyage).Maintenance préventive et prédictive Vous réalisez les opérations de vérification du bon fonctionnement (graissage, réglage, remplacement de consommables) de tous les matériels à entretenir, selon le planning établi par le responsable d'atelier. Vous renseignez les opérations réalisées et informez le client des travaux réalisés et à venir.Installation de machines et équipements Vous préparez le matériel neuf (vérification de la conformité, seconde monte) et d'occasion (remise en état, révision complète). Vous assurez la conduite de véhicules et leur convoyage vers les différents sites (concessionnaires, clients). Vous assurez le montage et les réglages des machines ou des équipements.Ce poste peut nécessiter des déplacements chez les clients (département).Avec l'expérience, vous pourrez vous spécialiser au sein du métier de technicien SAV ou évoluer vers d'autres postes (chef d'atelier, agriculture de précision).Vous avez une première expérience en tant que Technicien SAV ou Mécanicien.Vous ne venez pas du secteur agricole ? Pas de problème, nous sommes prêts à vous accompagner et à vous former !4 raisons nous rejoindre Une politique de formation ambitieuse ; Travailler sur des technologies et des méthodes innovantes ; Des coéquipiers passionnés et engagés ! ; Un package de rémunération attractif (salaire de base, heures supplémentaires jusqu'à 39h00 rémunérée à 25%, astreintes selon le poste et l'expérience (environ 180€ brut / semaine), mutuelle avantageuse (part employeur 30€), prévoyance avantageuse).",https://www.linkedin.com/jobs/view/externalApply/3992182394?url=https%3A%2F%2Fr%2Eholeest%2Ecom%2Fredirect%3Fpoc%3D2%26op%3D6497081321%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F53900726%2Ehtml%253Futm_source%253Dlinkedin%2526utm_medium%253Dmetamoteurs-free%2526utm_campaign%253Dclassique%252B-%252Blinkedin%252B-%252Bvente%25252csav%2526utm_term%253D53900726%2526utm_content%253Dfluxlinkedin&urlHash=5_Ta&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
SV-PRO,Chef d'atelier (H/F),"Monéteau, Bourgogne-Franche-Comté, France",1 week ago,Full-time,"€2,237.00/mo - €3,285.00/mo","Qui sommes-nous ?SV PRO, ce sont 9 agences spécialisées dans le commerce, l’entretien et la réparation de machines agricoles sur l’Yonne, la Nièvre et la Côte d’Or. Nous sommes partenaire agréé John Deere, et revendeur de marques comme Pottinger, Amazone ou encore Kramer. Nous faisons de la satisfaction de nos clients notre priorité. Nos valeurs sont l’intégrité, le partenariat, la transparence et l’innovation.Pour notre atelier de mécanique agricole, nous recherchons un chef d’atelier (H/F). Le poste est à pourvoir dès que possible, en CDI, au sein de l’agence de Monéteau (89).Missions principales : Rattaché à Gwenaël, Directrice Technique, vous coordonnez et managez l’équipe de techniciens de la base de Monéteau. Véritable source d’information pour la clientèle, vous expliquez les différentes interventions réalisées par votre service et vous fournissez de précieux conseils en termes de dépannage et de maintenance. Vous coordonnez et planifiez l’activité de l’atelier dans un objectif d’optimisation efficacité – productivité tout en garantissant la qualité des prestations.Parmi les missions qui vous sont confiées : Vous supervisez, encadrez et entretenez des relations durables avec les équipes techniques Vous coordonnez l’activité (planification, priorisation) Vous affectez les tâches aux techniciens en fonction de leur expertise et de leurs compétences Vous supervisez les réalisations tant à l’atelier qu’en intervention extérieure Vous êtes garant de l’application des processus, règles, directives pour garantir une qualité de service optimale Vous participez au recrutement, au développement des employés et à la fidélisation des équipes Vous êtes en charge de l’accueil physique et téléphonique des clients Vous réceptionnez les machines agricoles et les matériels d’accompagnement Vous suivez les ordres de réparation de l’ouverture à la fermeture Vous animez les opérations commerciales spécifique à l’atelier (phoning, prospection) Vous participez à la promotion des produits, services et technologiesProfil recherché :Vous êtes titulaire d’un diplôme de niveau 5 (BTS) dans le domaine de l’agroéquipement ou de la gestion. Vous avez une expérience (alternance compris) d’au moins 3 ans sur des fonctions de technicien ou une expérience significative en matière de management dans un environnement agricole.Vous avez de solides connaissances en gestion et management, vous maitrisez les outils informatiques et bureautique. Vous avez des compétences en matière de mécanique agricole (hydraulique, pneumatique, électrique...). Vous êtes à l’aise avec le public, aussi bien les équipes que la clientèle. On dit de vous que vous êtes un leader et une personne organisée, fédératrice et communicante.Ce que nous proposons : Salaire : fixe sur 12 mois Avantage : Participation aux bénéfices de l’entreprise, mutuelle d’entreprise avantageuse Equipement : téléphone portable, PC Type de contrat : CDI Statut : TAM Horaires de travail : Forfait heures (40H)Cadre de travail : SV PRO est une entreprise à taille humaine, dans laquelle règne un état d’esprit familial. Le poste est à pourvoir à compter du 01 septembre 2024.",https://www.linkedin.com/jobs/view/externalApply/4010634152?url=https%3A%2F%2Fjobdb%2Esoftgarden%2Ede%2Fjobdb%2Fpublic%2Fjobposting%2Fapplyonline%2Fclick%3Fjp%3D48625222&urlHash=SO4R&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
SV-PRO,Conseiller Pièces (F/H),"Châtillon-sur-Seine, Bourgogne-Franche-Comté, France",1 month ago,Full-time,,"Qui sommes-nous ?SV PRO, ce sont 9 agences spécialisées dans le commerce, l’entretien et la réparation de machines agricoles dans l’Yonne, la Nièvre et la Côte d’Or. Nous sommes partenaire agréé John Deere, et revendeur de marques comme Pottinger, Amazone ou Kramer. Nous faisons de la satisfaction de nos clients notre priorité. Nos valeurs sont l’intégrité, le partenariat, la transparence et l’innovation.Pour notre base située à Chatillon-sur-Seine (21), nous recherchons un conseiller pièces expérimenté (F/H) en CDI.La base de Chatillon-sur-Seine réunit une équipe de 20 collaborateurs dans un cadre qui sera rénové au cours de l'année 2024.Missions principales :Chez SV-PRO, le conseiller pièces a un rôle de conseil et de proximité pour notre clientèle. Il veille à l’accueil de qualité pour nos clients et fournisseurs, il réalise et justifie les devis auprès des clients. Il réceptionne, contrôle et prépare les marchandises qui transitent dans le magasin. De ce fait, il porte un intérêt particulier pour la gestion des stocks et est amené assurer le réapprovisionnement, à proposer des référencements, ou encore veiller à la facturation et à l’encaissement.Avec rigueur, le conseiller pièces contrôle les commandes, les bons de livraison, et s’assure du déballage et du rangement des pièces. Il contrôle également les sorties de pièces pour l’atelier.En étroite collaboration avec le service pièces, il veille à l’optimisation de l’approvisionnement des pièces et s’assure que les commandes sont établies dans les meilleures conditions financières.De nature polyvalent, il est amené à aider, conseiller la clientèle et vendre du matériel par le biais de la télévente.Profil recherché :Notre conseiller pièces idéal est une personne méthodique, rigoureuse et qui a une base en matière de mécanique. C’est un collaborateur dynamique, qui a le sens du relationnel et la capacité de communiquer avec un public varié.Vous êtes un passionné de machines agricoles. Vous maîtrisez l’outil informatique. Vous avez une formation dans le domaine du commerce, de la vente ou de la logistique (type CAP, Bac Pro, titre Pro) et vous souhaitez vous investir dans une société familiale. Vous avez une expérience minimum de 2 ans sur un poste similaire.Des déplacements ponctuels sont à prévoir, vous êtes en possession du permis B.Ce que nous proposons : Salaire : fixe sur 12 mois, paiement des heures supplémentaires Avantages : Participation aux bénéfices de l’entreprise, plan d’épargne entreprise Type de contrat : CDI Statut : employé Horaires de travail : 35H à 40H hebdomadaires du lundi au vendrediCadre de travail : SV PRO est une entreprise à taille humaine (170 collaborateurs) dans laquelle règne un état d’esprit convivial. Vous partagerez le comptoir avec Eva qui pourra vous guider dans votre prise de fonction. Vous bénéficierez également d’un accompagnement par les coordinateurs du siège et les conseillers d’autres bases si nécessaire. Vous êtes amené à suivre des formations pour développer vos compétences produits.",https://www.linkedin.com/jobs/view/externalApply/3976017293?url=https%3A%2F%2Fjobdb%2Esoftgarden%2Ede%2Fjobdb%2Fpublic%2Fjobposting%2Fapplyonline%2Fclick%3Fjp%3D44424532&urlHash=c0F7&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
SV-PRO,Conseiller Pièces (F/H),"Villeneuve-sous-Charigny, Bourgogne-Franche-Comté, France",1 month ago,Full-time,,"Qui sommes-nous ?SV PRO, ce sont 9 agences spécialisées dans le commerce, l’entretien et la réparation de machines agricoles dans l’Yonne, la Nièvre et la Côte d’Or. Nous sommes partenaire agréé John Deere, et revendeur de marques comme Pottinger, Amazone ou Kramer. Nous faisons de la satisfaction de nos clients notre priorité. Nos valeurs sont l’intégrité, le partenariat, la transparence et l’innovation.Pour notre base située à Juilly (21), nous recherchons un conseiller pièces (F/H) en CDI.La base de Juilly est située à proximité de Semur en Auxois.Missions principales :Chez SV-PRO, le conseiller pièces a un rôle de conseil et de proximité pour notre clientèle. Il veille à l’accueil de qualité pour nos clients et fournisseurs, il réalise et justifie les devis auprès des clients. Il réceptionne, contrôle et prépare les marchandises qui transitent dans le magasin. De ce fait, il porte un intérêt particulier pour la gestion des stocks et est amené assurer le réapprovisionnement, à proposer des référencements, ou encore veiller à la facturation et à l’encaissement.Avec rigueur, le conseiller pièces contrôle les commandes, les bons de livraison, et s’assure du déballage et du rangement des pièces. Il contrôle également les sorties de pièces pour l’atelier.En étroite collaboration avec le service pièces, il veille à l’optimisation de l’approvisionnement des pièces et s’assure que les commandes sont établies dans les meilleures conditions financières.De nature polyvalent, il est amené à aider, conseiller la clientèle et vendre du matériel par le biais de la télévente.Profil recherché :Notre conseiller pièces idéal est une personne méthodique, rigoureuse et qui a une base en matière de mécanique. C’est un collaborateur dynamique, qui a le sens du relationnel et la capacité de communiquer avec un public varié.Vous êtes un passionné de machines agricoles. Vous maîtrisez l’outil informatique. Vous avez une formation dans le domaine du commerce, de la vente ou de la logistique (type CAP, Bac Pro, titre Pro) et vous souhaitez vous investir dans une société familiale. Vous avez une expérience minimum d'un an sur un poste similaire.Des déplacements ponctuels sont à prévoir, vous êtes en possession du permis B.Ce que nous proposons : Salaire : fixe sur 12 mois, paiement des heures supplémentaires Avantages : Participation aux bénéfices de l’entreprise, plan d’épargne entreprise Type de contrat : CDI Statut : employé Horaires de travail : 40H hebdomadaires du lundi au vendrediCadre de travail : SV PRO est une entreprise à taille humaine (180 collaborateurs) dans laquelle règne un état d’esprit convivial. Vous partagerez le comptoir avec Nolwenn qui pourra vous guider dans votre prise de fonction. Vous bénéficierez également d’un accompagnement par les coordinateurs du siège et les conseillers d’autres bases si nécessaire. Vous êtes amené à suivre des formations pour développer vos compétences produits.",https://www.linkedin.com/jobs/view/externalApply/3974758709?url=https%3A%2F%2Fjobdb%2Esoftgarden%2Ede%2Fjobdb%2Fpublic%2Fjobposting%2Fapplyonline%2Fclick%3Fjp%3D47391025&urlHash=k4t4&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
SV-PRO,Technicien - Mécanicien Agricole Débutant (H/F),"Sauvigny-les-Bois, Bourgogne-Franche-Comté, France",1 month ago,Full-time,,"Qui sommes-nous ?SV PRO, ce sont 9 agences spécialisées dans le commerce, l’entretien et la réparation de machines agricoles dans l’Yonne, la Nièvre et la Côte d’Or. Nous sommes partenaire agréé John Deere, et revendeur de marques comme Pottinger, Amazone ou Kramer. Nous faisons de la satisfaction de nos clients notre priorité. Nos valeurs sont l’intégrité, le partenariat, la transparence et l’innovation.Pour notre base située à Sauvigny-les-bois, nous recherchons un Technicien - Mécanicien Agricole débutant (F/H) en CDI.La base de Sauvigny, à proximité de Nevers, va être entièrement rénovée à compter de 2024.Missions principales :Chargé d’intervenir sur tout type de matériel, le Technicien en Mécanique Agricole réalise des interventions en atelier ou à l’extérieur sur le lieu de la panne.Après une période de formation, il sera capable de réaliser un diagnostic, d’effectuer la remise en état du matériel et d’assurer la relation entre le client et le Service Après-Vente de la concession. Il développera de solides connaissances en mécanique et saura manipuler les principaux matériels.En relation permanente avec le chef d’atelier, il réalise quotidiennement des points sur la situation des pannes traitées et les solutions envisagées lors de cas techniques complexes.A l’aise avec l’informatique, il utilise les outils pour interroger, paramétrer et calibrer l’électronique embarquée. Il veille également à la conformité de l’intervention en réalisant des essais et des tests de performance. Il a la capacité de conseiller les utilisateurs dans l’utilisation des matériels.Durant les périodes de forte activité, il peut réaliser des astreintes et intervenir chez les clients.Profil recherché :Notre technicien en mécanique agricole idéal est une personne méthodique, rigoureuse et qui a des connaissances en mécanique. C’est un collaborateur qui a soif d’apprendre et qui ne craint pas de s’adapter et se former aux nouvelles technologies.Vous êtes passionné par les machines agricoles. Vous maîtrisez l’outil informatique. Vous avez une formation dans le domaine de la mécanique (type CAP, Bac Pro, titre Pro) et vous souhaitez vous investir dans une société pleine d’avenir. Vous avez une expérience sur un poste similaire.Des déplacements sont à prévoir, vous êtes en possession du permis B.Ce que nous proposons : Salaire : attractif, fixe sur 12 mois, paiement des heures supplémentaires Prime d’objectifs Parcours de formation interne Participation aux bénéfices de l’entreprise, plan d’épargne entreprise (PEE/PERCOL) Outillage complet fournit pour le poste, téléphone, tablette et ordinateur portable Véhicule dédié aux interventions après une période d'intégration Type de contrat : CDI Statut : employé Horaires de travail : 40H hebdomadaires du lundi au vendrediCadre de travail : SV PRO est une entreprise à taille humaine (175 collaborateurs) dans laquelle règne un état d’esprit convivial. Vous bénéficierez également d’un accompagnement par le chef d’atelier et les services supports si nécessaire. Vous êtes amené à suivre des formations pour développer vos compétences techniques sur les machines.",https://www.linkedin.com/jobs/view/externalApply/3977326607?url=https%3A%2F%2Fjobdb%2Esoftgarden%2Ede%2Fjobdb%2Fpublic%2Fjobposting%2Fapplyonline%2Fclick%3Fjp%3D45493172&urlHash=2lXi&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
